year,cumulative,revenue,rev_infl,title,lead_actor,director_name
2013,1.067622291,407602906,435165948.4,Pacific Rim,Charlie Hunnam,Guillermo del Toro
2012,1.089714997,403170142,439340550.1,Prometheus,Michael Fassbender,Ridley Scott
2008,1.182197002,401128639,474213074.4,The Mummy: Tomb of the Dragon Emperor,Jet Li,Rob Cohen
2010,1.142551557,400062763,457092332.7,TRON: Legacy,Jeff Bridges,Joseph Kosinski
2006,1.255146149,397850012,499359910.4,Mission: Impossible III,Philip Seymour Hoffman,J.J. Abrams
2012,1.089714997,396600000,432180967.8,Snow White and the Huntsman,Chris Hemsworth,Rupert Sanders
2008,1.182197002,392616625,464150196.9,Twilight,Kristen Stewart,Catherine Hardwicke
2013,1.067622291,392000694,418508679,The Wolf of Wall Street,Leonardo DiCaprio,Martin Scorsese
2006,1.255146149,391081192,490864052.1,Superman Returns,Kevin Spacey,Bryan Singer
1991,1.876034824,390493908,732580169.8,Robin Hood: Prince of Thieves,Alan Rickman,Kevin Reynolds
1981,2.974451411,389925971,1159815854,Raiders of the Lost Ark,Harrison Ford,Steven Spielberg
2016,1.034185663,389681935,403003470.4,Independence Day: Resurgence,Vivica A. Fox,Roland Emmerich
2009,1.138489257,385680446,439093044.6,Star Trek,Chris Hemsworth,J.J. Abrams
2006,1.255146149,384335608,482397358.3,Happy Feet,Robin Williams,George Miller
2007,1.21592121,383531464,466344041.9,Live Free or Die Hard,Bruce Willis,Len Wiseman
2002,1.384334996,383257136,530556265.9,Ice Age,Goran Visnjic,Chris Wedge
1985,2.35956602,381109762,899253644.2,Back to the Future,Lea Thompson,Robert Zemeckis
1994,1.696818575,378882411,642894712.8,True Lies,Jamie Lee Curtis,James Cameron
2015,1.035412488,378858340,392274656.4,Mad Max: Fury Road,Tom Hardy,George Miller
2008,1.182197002,377910544,446764712.1,Slumdog Millionaire,Anil Kapoor,Danny Boyle
2012,1.089714997,376141306,409886822.1,Taken 2,Liam Neeson,Olivier Megaton
2005,1.29773008,374218673,485634828.6,Batman Begins,Christian Bale,Christopher Nolan
2000,1.47152684,374111707,550515417.9,What Women Want,Judy Greer,Nancy Meyers
1995,1.653699331,373554033,617746054.5,Toy Story,Tom Hanks,John Lasseter
2014,1.052209187,373552094,393054945.3,Penguins of Madagascar,Benedict Cumberbatch,Eric Darnell
2009,1.138489257,373062864,424728063,X-Men Origins: Wolverine,Hugh Jackman,Gavin Hood
2007,1.21592121,372234864,452608266.4,The Golden Compass,Christopher Lee,Chris Weitz
2011,1.124115573,371940071,418103626,The Adventures of Tintin,Toby Jones,Steven Spielberg
2013,1.067622291,371876278,397023403.9,G.I. Joe: Retaliation,Channing Tatum,Jon M. Chu
2009,1.138489257,371353001,422781402.3,Terminator Salvation,Christian Bale,McG
2011,1.124115573,370569774,416563253.8,Captain America: The First Avenger,Chris Evans,Joe Johnston
2014,1.052209187,370541256,389886913.8,Edge of Tomorrow,Tom Cruise,Doug Liman
1998,1.527066244,369884651,564838364.9,There's Something About Mary,Sarah Silverman,Bobby Farrelly
2014,1.052209187,369330363,388612801.1,Gone Girl,Patrick Fugit,David Fincher
1993,1.746902839,368875760,644390112.3,The Fugitive,Harrison Ford,Andrew Davis
2015,1.035412488,368871007,381933647.1,Home,Jim Parsons,Tim Johnson
2001,1.423458672,368780809,524944240.7,Jurassic Park III,Michael Jeter,Joe Johnston
2002,1.384334996,368744044,510465284.8,My Big Fat Greek Wedding,Nia Vardalos,Joel Zwick
2005,1.29773008,368100420,477694987.6,Hitch,Will Smith,Andy Tennant
2004,1.332473386,367275019,489384188.2,Shark Tale,Robert De Niro,Bibo Bergeron
1999,1.503724247,363889678,547189732.1,Notting Hill,Julia Roberts,Roger Michell
1998,1.527066244,363258859,554720341.6,A Bug's Life,Kevin Spacey,John Lasseter
2004,1.332473386,362744280,483347099.1,Ocean's Twelve,Brad Pitt,Steven Soderbergh
2014,1.052209187,362637473,381570480.8,Noah,Anthony Hopkins,Darren Aronofsky
2001,1.423458672,362211740,515593442.4,Planet of the Apes,Cary-Hiroyuki Tagawa,Tim Burton
1999,1.503724247,361832400,544096153.3,The World Is Not Enough,Colin Salmon,Michael Apted
2007,1.21592121,361366633,439393353.8,Alvin and the Chipmunks,Jesse McCartney,Tim Hill
1992,1.799813376,358991681,646118029.3,Home Alone 2: Lost in New York,Macaulay Culkin,Chris Columbus
2012,1.089714997,358375603,390527269.2,Hotel Transylvania,Steve Buscemi,Genndy Tartakovsky
2002,1.384334996,358372926,496108183.2,Minority Report,Tom Cruise,Steven Spielberg
1984,2.461039993,357852395,880689055.8,The Karate Kid,Martin Kove,John G. Avildsen
1986,2.278768981,356830601,813134504.9,Top Gun,Tom Cruise,Tony Scott
