year,cumulative,revenue,rev_infl,title,lead_actor,director_name
2016,1.034185663,205754447,212788299.2,London Has Fallen,Gerard Butler,Babak Najafi
2012,1.089714997,205738714,224196562.1,Silver Linings Playbook,Jennifer Lawrence,David O. Russell
2011,1.124115573,205703818,231234865.2,Paranormal Activity 3,Johanna Braddy,Henry Joost
1991,1.876034824,205405498,385347867.2,JFK,Sally Kirkland,Oliver Stone
2013,1.067622291,205366737,219254106.3,White House Down,Channing Tatum,Roland Emmerich
2009,1.138489257,205298907,233730600.2,The Ugly Truth,Gerard Butler,Robert Luketic
2006,1.255146149,204999686,257304566.4,The Break-Up,Jon Favreau,Peyton Reed
2010,1.142551557,204594016,233759211.5,Eat Pray Love,James Franco,Ryan Murphy
2015,1.035412488,203427584,210631460.9,Everest,Michael Kelly,Baltasar Kormákur
2001,1.423458672,203388341,289514897.8,Vanilla Sky,Tom Cruise,Cameron Crowe
2014,1.052209187,203277636,213890596.2,Need for Speed,Rami Malek,Scott Waugh
1998,1.527066244,202292902,308914662.1,Patch Adams,Robin Williams,Tom Shadyac
2005,1.29773008,202026112,262175362.6,Fun with Dick and Jane,John Michael Higgins,Dean Parisot
2014,1.052209187,202000000,212546255.8,Teenage Mutant Ninja Turtles,Noel Fisher,Jonathan Liebesman
1990,1.977302366,201957688,399331414.4,Kindergarten Cop,Richard Tyson,Ivan Reitman
2015,1.035412488,201634991,208775387.7,Straight Outta Compton,Aldis Hodge,F. Gary Gray
2008,1.182197002,201596308,238326550.9,You Don't Mess with the Zohan,Adam Sandler,Dennis Dugan
2012,1.089714997,201585328,219670555.1,21 Jump Street,Channing Tatum,Phil Lord
2010,1.142551557,201584141,230320274.1,Yogi Bear,Justin Timberlake,Eric Brevig
2004,1.332473386,200804534,267566697.4,Garfield,Bill Murray,Peter Hewitt
2008,1.182197002,200276000,236765686.7,Valkyrie,Tom Cruise,Bryan Singer
1990,1.977302366,199200000,393878631.4,The Hunt for Red October,Scott Glenn,John McTiernan
1990,1.977302366,198802074,393091811.3,Total Recall,Ronny Cox,Paul Verhoeven
1998,1.527066244,198685114,303405330.9,City of Angels,Nicolas Cage,Brad Silberling
2013,1.067622291,197687603,211055691.6,Jack the Giant Slayer,Eddie Marsan,Bryan Singer
2006,1.255146149,197309027,247651665.4,Open Season,Jon Favreau,Roger Allers
2003,1.362721798,197011982,268472522.3,Spy Kids 3-D: Game Over,Sylvester Stallone,Robert Rodriguez
2014,1.052209187,196781193,207054979.2,The Other Woman,Don Johnson,Nick Cassavetes
2004,1.332473386,196482882,261808211.1,50 First Dates,Adam Sandler,Peter Segal
2002,1.384334996,196397415,271879814.8,Panic Room,Kristen Stewart,David Fincher
2012,1.089714997,196114570,213708988.1,The Vow,Channing Tatum,Michael Sucsy
2007,1.21592121,195735876,237999403.3,Beowulf,Robin Wright,Robert Zemeckis
1981,2.974451411,195312802,580948439.4,For Your Eyes Only,Julian Glover,John Glen
1993,1.746902839,195268056,341114321.4,The Pelican Brief,Denzel Washington,Alan J. Pakula
2015,1.035412488,194564672,201454691.1,The Intern,Robert De Niro,Nancy Meyers
2006,1.255146149,194168700,243710096.1,The Holiday,Kate Winslet,Nancy Meyers
2002,1.384334996,193772504,268246058.6,Gangs of New York,Leonardo DiCaprio,Martin Scorsese
2007,1.21592121,193355800,235105418.4,Paranormal Activity,Micah Sloat,Oren Peli
2002,1.384334996,193000000,267176654.3,The Sum of All Fears,Morgan Freeman,Phil Alden Robinson
2005,1.29773008,192452832,249751829.1,The Curse of the Were-Rabbit,Mark Gatiss,Steve Box
2014,1.052209187,192330738,202372169.5,The Equalizer,Denzel Washington,Antoine Fuqua
1991,1.876034824,191502426,359265220,The Addams Family,Anjelica Huston,Barry Sonnenfeld
1987,2.236322512,191185897,427553325.4,The Living Daylights,Joe Don Baker,John Glen
1980,3.37746584,190458706,643267773.4,Superman II,Margot Kidder,Richard Lester
2005,1.29773008,190320568,246984726,The Longest Yard,Adam Sandler,Peter Segal
2000,1.47152684,190213455,279904204.3,Hollow Man,Greg Grunberg,Paul Verhoeven
2003,1.362721798,190212113,259206192.5,Cheaper by the Dozen,Tom Welling,Shawn Levy
1995,1.653699331,189859560,313970627.4,Outbreak,Kevin Spacey,Wolfgang Petersen
1994,1.696818575,189833357,322112766.3,The Santa Clause,Judge Reinhold,John Pasquin
1998,1.527066244,189198313,288918357.3,The X Files,Martin Landau,Rob Bowman
1988,2.15726806,189015611,407757340.5,Rambo III,Sylvester Stallone,Peter MacDonald
2014,1.052209187,188441614,198279997.5,22 Jump Street,Channing Tatum,Phil Lord
2013,1.067622291,188133322,200855328.3,The Secret Life of Walter Mitty,Adam Scott,Ben Stiller
2008,1.182197002,188072649,222338921.8,Tropic Thunder,Robert Downey Jr.,Ben Stiller
1978,4.044321463,187884007,759863322,Jaws 2,Roy Scheider,Jeannot Szwarc
1983,2.540099309,187500000,476268620.5,Octopussy,Louis Jourdan,John Glen
2008,1.182197002,187479518,221637724.1,Ponyo,Rumi Hiiragi,Hayao Miyazaki
2011,1.124115573,187361754,210616265.5,Mr. Popper's Penguins,Madeline Carroll,Mark Waters
2013,1.067622291,187000000,199645368.4,12 Years a Slave,Quvenzhané Wallis,Steve McQueen
1998,1.527066244,186883563,285383580.7,The Horse Whisperer,Scarlett Johansson,Robert Redford
2005,1.29773008,186438883,241947346.6,Walk the Line,Sandra Ellis Lafferty,James Mangold
2009,1.138489257,186167139,211949287.8,The Final Destination,Krista Allen,David R. Ellis
2001,1.423458672,186053725,264839788.3,Atlantis: The Lost Empire,Leonard Nimoy,Gary Trousdale
1998,1.527066244,185991646,284021564.4,The Waterboy,Adam Sandler,Frank Coraci
2011,1.124115573,185770160,208827129.9,Hugo,Chloë Grace Moretz,Martin Scorsese
1977,4.307270464,185438673,798734519.1,The Spy Who Loved Me,Caroline Munro,Lewis Gilbert
2009,1.138489257,185258983,210915362,Watchmen,Matt Frewer,Zack Snyder
2006,1.255146149,184376254,231419145.2,Inside Man,Denzel Washington,Spike Lee
2015,1.035412488,183987723,190503186,Jupiter Ascending,Channing Tatum,Lana Wachowski
2011,1.124115573,183953723,206785244.7,Hop,Gary Cole,Tim Hill
2016,1.034185663,183936074,190224050.7,Bad Moms,Mila Kunis,Jon Lucas
2000,1.47152684,183611771,270189649.1,102 Dalmatians,Ioan Gruffudd,Kevin Lima
2004,1.332473386,183474602,244475024.2,The Grudge,Sarah Michelle Gellar,Takashi Shimizu
2016,1.034185663,183345589,189613379.6,The BFG,Mark Rylance,Steven Spielberg
1986,2.278768981,183316455,417735851.3,Aliens,Michael Biehn,James Cameron
2009,1.138489257,183293131,208677260.6,Paul Blart: Mall Cop,Erick Avari,Steve Carr
2012,1.089714997,183018522,199438028.2,Mirror Mirror,Julia Roberts,Tarsem Singh
1991,1.876034824,182300000,342001148.4,Cape Fear,Robert De Niro,Martin Scorsese
2003,1.362721798,182290266,248410919,The Haunted Mansion,Marsha Thomason,Rob Minkoff
1995,1.653699331,182016617,301000757.8,The Bridges of Madison County,Clint Eastwood,Clint Eastwood
1978,4.044321463,181813770,735313332.2,Grease,Olivia Newton-John,Randal Kleiser
2006,1.255146149,181674817,228028446.9,Poseidon,Jimmy Bennett,Wolfgang Petersen
2004,1.332473386,181466833,241799725.5,Scooby-Doo 2: Monsters Unleashed,Sarah Michelle Gellar,Raja Gosnell
2002,1.384334996,181001478,250566680.4,Road to Perdition,Tom Hanks,Sam Mendes
2003,1.362721798,180949000,246583146.5,Kill Bill: Vol. 1,David Carradine,Quentin Tarantino
2002,1.384334996,180622424,250041942.7,Sweet Home Alabama,Ethan Embry,Andy Tennant
1997,1.562764318,180557550,282168896.6,Déjà Vu,Vanessa Redgrave,Henry Jaglom
2012,1.089714997,180274123,196447415.4,The Impossible,Naomi Watts,J.A. Bayona
2012,1.089714997,179379533,195472567.3,The Dictator,Sayed Badreya,Larry Charles
2003,1.362721798,179265204,244288601,The League of Extraordinary Gentlemen,Jason Flemyng,Stephen Norrington
2016,1.034185663,179246868,185374541.1,Allegiant,Naomi Watts,Robert Schwentke
2001,1.423458672,179213434,255102916.8,Moulin Rouge!,Jim Broadbent,Baz Luhrmann
2006,1.255146149,178262620,223745641,Scary Movie 4,Beau Mirchoff,David Zucker
1997,1.562764318,178127760,278371707.4,Dante's Peak,Jamie Renée Smith,Roger Donaldson
2008,1.182197002,178066569,210509764,Eagle Eye,Rosario Dawson,D.J. Caruso
1992,1.799813376,178051587,320459627.9,Patriot Games,Harrison Ford,Phillip Noyce
2005,1.29773008,178043761,231052744.3,Brokeback Mountain,Jake Gyllenhaal,Ang Lee
1997,1.562764318,177977226,278136458.3,Flubber,Robin Williams,Les Mayfield
1999,1.503724247,177841558,267424662.9,Double Jeopardy,Bruce Greenwood,Bruce Beresford
2011,1.124115573,177584879,199625928,War Horse,Jeremy Irvine,Steven Spielberg
2010,1.142551557,177512032,202816648.5,Paranormal Activity 2,Sprague Grayden,Tod Williams
2002,1.384334996,177394432,245573320.4,Hero,Jet Li,Yimou Zhang
2003,1.362721798,177371441,241707928.9,How to Lose a Guy in 10 Days,Matthew McConaughey,Donald Petrie
2009,1.138489257,177259441,201807969.3,He's Just Not That Into You,Carmen Perez,Ken Kwapis
2011,1.124115573,177243185,199241824.5,The Descendants,Shailene Woodley,Alexander Payne
1982,2.695843644,177200000,477703493.7,Tootsie,Bill Murray,Sydney Pollack
1999,1.503724247,176885658,265987252.9,Analyze This,Robert De Niro,Harold Ramis
2001,1.423458672,176104344,250677255.7,Dr. Dolittle 2,Raven-Symoné,Steve Carr
2003,1.362721798,176070171,239934659.9,The Italian Job,Jason Statham,F. Gary Gray
2007,1.21592121,175372502,213239144.9,The Bucket List,Morgan Freeman,Rob Reiner
2014,1.052209187,174600318,183716058.7,The Grand Budapest Hotel,Bill Murray,Wes Anderson
2013,1.067622291,174578751,186384166.1,Percy Jackson: Sea of Monsters,Logan Lerman,Thor Freudenthal
2013,1.067622291,173965010,185728922.5,Identity Thief,Jon Favreau,Seth Gordon
2000,1.47152684,173959438,255985982.1,Big Momma's House,Nia Long,Raja Gosnell
2011,1.124115573,173930596,195518091.6,In Time,Matt Bomer,Andrew Niccol
2001,1.423458672,173921954,247570713.7,Amélie,Mathieu Kassovitz,Jean-Pierre Jeunet
2013,1.067622291,173649015,185391559.2,Anchorman 2: The Legend Continues,Harrison Ford,Adam McKay
2015,1.035412488,173567581,179714040.9,Creed,Sylvester Stallone,Ryan Coogler
2003,1.362721798,173398518,236293940.1,Elf,Peter Dinklage,Jon Favreau
2009,1.138489257,173185859,197170240,The Girl on the Train,Catherine Deneuve,André Téchiné
1996,1.608572132,173046663,278358039.6,Scream,David Arquette,Wes Craven
2003,1.362721798,173013509,235769280,Cold Mountain,Philip Seymour Hoffman,Anthony Minghella
2007,1.21592121,173000000,210354369.4,Evan Almighty,Jimmy Bennett,Tom Shadyac
2001,1.423458672,172989651,246243618.9,Black Hawk Down,Ioan Gruffudd,Ridley Scott
2002,1.384334996,172855065,239289315.8,The Santa Clause 2,Judge Reinhold,Michael Lembeck
1997,1.562764318,172363301,269363216.6,Scream 2,Omar Epps,Wes Craven
2004,1.332473386,171963386,229136635.2,Along Came Polly,Philip Seymour Hoffman,John Hamburg
2009,1.138489257,171844840,195643504.3,Couples Retreat,Jon Favreau,Peter Billingsley
1998,1.527066244,171757863,262285634.8,Antz,Sylvester Stallone,Eric Darnell
2007,1.21592121,171600000,208652079.7,No Country for Old Men,Kelly Macdonald,Ethan Coen
2002,1.384334996,171269535,237094411.1,Mr. Deeds,Steve Buscemi,Steven Brill
2004,1.332473386,171183863,228097941.6,AVP: Alien vs. Predator,Sanaa Lathan,Paul W.S. Anderson
1997,1.562764318,171120329,267420744.3,Contact,Matthew McConaughey,Robert Zemeckis
2006,1.255146149,170877916,214476758.2,Blood Diamond,Leonardo DiCaprio,Edward Zwick
2008,1.182197002,170764026,201876719.6,Cloverfield,Mike Vogel,Matt Reeves
2010,1.142551557,170432927,194728406.1,The Other Guys,Dwayne Johnson,Adam McKay
1994,1.696818575,170362582,289074393.7,The Specialist,Sylvester Stallone,Luis Llosa
2004,1.332473386,170268750,226878577.9,Starsky & Hutch,Snoop Dogg,Todd Phillips
2008,1.182197002,170000000,200973490.3,What Happens in Vegas,Treat Williams,Tom Vaughan
2002,1.384334996,169956806,235277154.4,Stuart Little 2,Nathan Lane,Rob Minkoff
2011,1.124115573,169852759,190934131.5,Zookeeper,Rosario Dawson,Frank Coraci
2014,1.052209187,169837010,178704062.3,Dumb and Dumber To,Bill Murray,Bobby Farrelly
2000,1.47152684,169327687,249170236.1,The Emperor's New Groove,Eartha Kitt,Mark Dindal
2008,1.182197002,168167691,198807340.1,Seven Pounds,Will Smith,Gabriele Muccino
2015,1.035412488,167977596,173926100.6,Fantastic Four,Tim Blake Nelson,Josh Trank
2010,1.142551557,167805466,191726396.4,Unstoppable,Denzel Washington,Tony Scott
2004,1.332473386,167298192,222920388.4,Alexander,Anthony Hopkins,Oliver Stone
2012,1.089714997,167221571,182223853.7,Magic Mike,Channing Tatum,Steven Soderbergh
1996,1.608572132,165615285,266404132,Sleepers,Robert De Niro,Barry Levinson
2015,1.035412488,165478348,171338348,Bridge of Spies,Tom Hanks,Steven Spielberg
2001,1.423458672,165335153,235347757.3,The Princess Diaries,Anne Hathaway,Garry Marshall
2002,1.384334996,165333180,228876507.1,The Scorpion King,Dwayne Johnson,Chuck Russell
2011,1.124115573,165184237,185686173.2,The Muppets,Bill Cobbs,James Bobin
2016,1.034185663,164602163,170229197.1,The Huntsman: Winter's War,Chris Hemsworth,Cedric Nicolas-Troyan
1997,1.562764318,164508066,257087335.6,Speed 2: Cruise Control,Jason Patric,Jan de Bont
2003,1.362721798,164433867,224077614.8,Daddy Day Care,Anjelica Huston,Steve Carr
1998,1.527066244,164000000,250438864.1,Six Days Seven Nights,Harrison Ford,Ivan Reitman
2006,1.255146149,163876815,205689353.2,Saw III,Costas Mandylor,Darren Lynn Bousman
2008,1.182197002,163733697,193565485.7,Four Christmases,Jon Favreau,Seth Gordon
2008,1.182197002,163720069,193549374.7,Burn After Reading,J.K. Simmons,Ethan Coen
2008,1.182197002,163712074,193539923,The Incredible Hulk,Ty Burrell,Louis Leterrier
2009,1.138489257,163670000,186336536.8,Up in the Air,J.K. Simmons,Jason Reitman
2014,1.052209187,163442937,171976159.9,Unbroken,Finn Wittrock,Angelina Jolie Pitt
2008,1.182197002,163403799,193175481.3,The Happening,Zooey Deschanel,M. Night Shyamalan
2006,1.255146149,162966177,204546369.5,Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell,Adam McKay
2005,1.29773008,162949164,211464031.7,The Island,Scarlett Johansson,Michael Bay
2006,1.255146149,162945894,204520911.3,World Trade Center,Nicolas Cage,Oliver Stone
2005,1.29773008,162944923,211458528,The Interpreter,Curtiss Cook,Sydney Pollack
2008,1.182197002,162839667,192508566.1,The Spiderwick Chronicles,Martin Short,Mark Waters
2005,1.29773008,162242962,210547572.1,Memoirs of a Geisha,Li Gong,Rob Marshall
1999,1.503724247,162091208,243740479.7,Eyes Wide Shut,Tom Cruise,Stanley Kubrick
1997,1.562764318,162000000,253167819.6,Alien: Resurrection,Gary Dourdan,Jean-Pierre Jeunet
2000,1.47152684,161834276,238143480.7,Scream 3,Kelly Rutherford,Wes Craven
1973,5.861767636,161777836,948304083.3,Live and Let Die,Yaphet Kotto,Guy Hamilton
2012,1.089714997,161772375,176285783.1,Flight,Denzel Washington,Robert Zemeckis
1999,1.503724247,161626121,243041117.1,Payback,Bill Duke,Brian Helgeland
2005,1.29773008,161451538,209520517.4,The Ring Two,Naomi Watts,Hideo Nakata
2013,1.067622291,161025640,171914562.7,Olympus Has Fallen,Gerard Butler,Antoine Fuqua
1989,2.072746811,161001698,333715756.2,Born on the Fourth of July,Tom Cruise,Oliver Stone
1994,1.696818575,160638883,272575040.6,Legends of the Fall,Anthony Hopkins,Edward Zwick
2014,1.052209187,160602194,168987104,Into the Storm,Matt Walsh,Steven Quale
2003,1.362721798,160583018,218829978.9,Johnny English,Kevin McNally,Peter Howitt
2008,1.182197002,160388063,189610287.2,Hellboy II: The Golden Army,Seth MacFarlane,Guillermo del Toro
2008,1.182197002,160259319,189458086.4,27 Dresses,Judy Greer,Anne Fletcher
2012,1.089714997,160112671,174477178.8,Underworld: Awakening,Theo James,Måns Mårlind
2011,1.124115573,160078586,179946831.4,Johnny English Reborn,Daniel Kaluuya,Oliver Parker
1983,2.540099309,160000000,406415889.5,Never Say Never Again,Bernie Casey,Irvin Kershner
1973,5.861767636,159616327,935633819.8,The Sting,Eileen Brennan,George Roy Hill
1997,1.562764318,159375308,249066044.6,Princess Mononoke,Minnie Driver,Hayao Miyazaki
1997,1.562764318,159330280,248995676.4,The Jackal,J.K. Simmons,Michael Caton-Jones
2010,1.142551557,159291809,181999104.4,Step Up 3D,Alyson Stoner,Jon M. Chu
1996,1.608572132,159212469,256104740.7,Daylight,Sylvester Stallone,Rob Cohen
1992,1.799813376,159157447,286453702,Unforgiven,Clint Eastwood,Clint Eastwood
2005,1.29773008,158733820,205993653,Sin City,Rosario Dawson,Frank Miller
2013,1.067622291,158674180,169404091.6,The Heat,Michael Rapaport,Paul Feig
2006,1.255146149,158468292,198900866.4,The Fast and the Furious: Tokyo Drift,Amber Stevens West,Justin Lin
2015,1.035412488,158162788,163763725.8,Goosebumps,Odeya Rush,Rob Letterman
1990,1.977302366,157920733,312257039,Days of Thunder,Tom Cruise,Tony Scott
2011,1.124115573,157887643,177483958.3,Final Destination 5,Emma Bell,Steven Quale
1995,1.653699331,157387195,260271099.1,Crimson Tide,Denzel Washington,Tony Scott
2010,1.142551557,157107755,179503710.1,The Book of Eli,Denzel Washington,Albert Hughes
2012,1.089714997,156974557,171057528.9,This Means War,Tom Hardy,McG
2015,1.035412488,156844753,162399015.9,Ip Man 3,Mike Tyson,Wilson Yip
2007,1.21592121,156835339,190699415.2,P.S. I Love You,Gerard Butler,Richard LaGravenese
2003,1.362721798,156822020,213704785,Mystic River,John Doman,Clint Eastwood
2003,1.362721798,156505388,213273303.7,Lara Croft Tomb Raider: The Cradle of Life,Gerard Butler,Jan de Bont
1989,2.072746811,156167015,323694682.4,Licence to Kill,Robert Davi,John Glen
2015,1.035412488,155760117,161275970.3,The Hateful Eight,Craig Stark,Quentin Tarantino
2006,1.255146149,155721132,195452779.1,Rocky Balboa,Sylvester Stallone,Sylvester Stallone
2009,1.138489257,155545279,177086629.2,Hannah Montana: The Movie,Emily Osment,Peter Chelsom
2000,1.47152684,155464351,228769965.1,What Lies Beneath,Harrison Ford,Robert Zemeckis
2009,1.138489257,155446362,176974013.2,Knowing,Nicolas Cage,Alex Proyas
2002,1.384334996,155010032,214585812.1,Blade II,Norman Reedus,Guillermo del Toro
2014,1.052209187,154984035,163075625.5,The Monuments Men,Bill Murray,George Clooney
2006,1.255146149,154937680,194469432.4,Dreamgirls,Loretta Devine,Bill Condon
2002,1.384334996,154906693,214442756.3,Maid in Manhattan,Bob Hoskins,Wayne Wang
1993,1.746902839,154864401,270533061.7,Cool Runnings,Doug E. Doug,Jon Turteltaub
2005,1.29773008,154749918,200823623.5,Monster-in-Law,Adam Scott,Robert Luketic
2004,1.332473386,154648887,206065526.1,The Phantom of the Opera,Gerard Butler,Joel Schumacher
2010,1.142551557,154026136,175982801.5,The Town,Jeremy Renner,Ben Affleck
2014,1.052209187,153997819,162037920,Ride Along,Bruce McGill,Tim Story
2015,1.035412488,153962963,159415174.6,Focus,Will Smith,Glenn Ficarra
1984,2.461039993,153083102,376743636.3,Gremlins,Phoebe Cates,Joe Dante
1997,1.562764318,152944660,239016457.3,The Devil's Advocate,Keanu Reeves,Taylor Hackford
2011,1.124115573,152930623,171911694.9,Tower Heist,Matthew Broderick,Brett Ratner
2005,1.29773008,152925093,198455493.2,Saw II,Emmanuelle Vaugier,Darren Lynn Bousman
2000,1.47152684,152500343,224408347.8,Chocolat,Lena Olin,Lasse Hallström
1985,2.35956602,152427960,359663834.9,A View to a Kill,Patrick Macnee,John Glen
1996,1.608572132,152266007,244930855.5,A Time to Kill,Kevin Spacey,Joel Schumacher
2010,1.142551557,152263880,173969333.1,Date Night,Mila Kunis,Shawn Levy
2004,1.332473386,152159461,202748432.2,Kill Bill: Vol. 2,Vivica A. Fox,Quentin Tarantino
1996,1.608572132,152036382,244561487.1,Phenomenon,Robert Duvall,Jon Turteltaub
1995,1.653699331,152022101,251398846.7,Congo,Dylan Walsh,Frank Marshall
2013,1.067622291,151831537,162098733.4,Bad Grandpa,Jackson Nicoll,Jeff Tremaine
1988,2.15726806,151668774,327190201.9,Big,Tom Hanks,Penny Marshall
1999,1.503724247,151493655,227804682.3,The Bone Collector,Denzel Washington,Phillip Noyce
2008,1.182197002,151161491,178702661.5,Vantage Point,Dennis Quaid,Pete Travis
2011,1.124115573,151119219,169875467.5,Midnight in Paris,Kurt Fuller,Woody Allen
2013,1.067622291,150962475,161170903.4,47 Ronin,Keanu Reeves,Carl Rinsch
2008,1.182197002,150816700,178295050.6,Step Up 2: The Streets,Cassie Ventura,Jon M. Chu
2016,1.034185663,150680864,155831989.3,Gods of Egypt,Gerard Butler,Alex Proyas
2011,1.124115573,150483765,169161143.7,Friends with Benefits,Mila Kunis,Will Gluck
1996,1.608572132,150270147,241720370.7,Broken Arrow,Delroy Lindo,John Woo
2009,1.138489257,150166126,170962521.3,The Taking of Pelham 1 2 3,Denzel Washington,Tony Scott
1996,1.608572132,150000000,241285819.8,Star Trek: First Contact,LeVar Burton,Jonathan Frakes
1999,1.503724247,149705852,225116319.6,The General's Daughter,Daniel von Bargen,Simon West
2011,1.124115573,149673788,168250636,Jack and Jill,Al Pacino,Dennis Dugan
2013,1.067622291,149295601,159391311.6,Lone Survivor,Jerry Ferrara,Peter Berg
2008,1.182197002,149281606,176480267,Beverly Hills Chihuahua,Jamie Lee Curtis,Raja Gosnell
2011,1.124115573,149217355,167737552.5,Ghost Rider: Spirit of Vengeance,Nicolas Cage,Mark Neveldine
2007,1.21592121,149044513,181226384.6,Surf's Up,Jeff Bridges,Ash Brannon
1992,1.799813376,149022650,268212958.8,Death Becomes Her,Bruce Willis,Robert Zemeckis
2016,1.034185663,148868835,153958014.9,Lights Out,Billy Burke,David F. Sandberg
2007,1.21592121,148412065,180457377.7,Resident Evil: Extinction,Milla Jovovich,Russell Mulcahy
2003,1.362721798,148336445,202141307,Seabiscuit,Jeff Bridges,Gary Ross
2001,1.423458672,147934180,210578191.4,Spy Kids,Alexa PenaVega,Robert Rodriguez
2007,1.21592121,147880543,179811088.8,The Game Plan,Dwayne Johnson,Andy Fickman
2001,1.423458672,147845033,210451294.4,The Mexican,J.K. Simmons,Gore Verbinski
2011,1.124115573,147780440,166122294,No Strings Attached,Natalie Portman,Ivan Reitman
2011,1.124115573,147332697,165618979.1,Source Code,Jake Gyllenhaal,Duncan Jones
1996,1.608572132,147298761,236940682,Romeo + Juliet,Leonardo DiCaprio,Baz Luhrmann
2001,1.423458672,147080413,209362889.4,Swordfish,Hugh Jackman,Dominic Sena
2015,1.035412488,146936910,152140311.6,The Last Witch Hunter,Vin Diesel,Breck Eisner
2016,1.034185663,146900000,151921873.9,Ben-Hur,Morgan Freeman,Timur Bekmambetov
2013,1.067622291,146497771,156404285.9,Mama,Javier Botet,Andrés Muschietti
1985,2.35956602,146292009,345185653.4,The Color Purple,Oprah Winfrey,Steven Spielberg
1984,2.461039993,146198896,359801330,Police Academy,Steve Guttenberg,Hugh Wilson
2007,1.21592121,145896422,177398554,Music and Lyrics,Brad Garrett,Marc Lawrence
1989,2.072746811,145793296,302192589.4,Driving Miss Daisy,Morgan Freeman,Bruce Beresford
2002,1.384334996,145771527,201796626.3,Lilo & Stitch,Tia Carrere,Dean DeBlois
2012,1.089714997,145000000,158008674.6,Chronicle,Michael Kelly,Josh Trank
2011,1.124115573,144492830,162426640.4,I Am Number Four,Alex Pettyfer,D.J. Caruso
2005,1.29773008,144216468,187154048.6,The Exorcism of Emily Rose,Tom Wilkinson,Scott Derrickson
2000,1.47152684,144056873,211983555.1,The Beach,Leonardo DiCaprio,Danny Boyle
2006,1.255146149,144000000,180741045.4,Charlotte's Web,Steve Buscemi,Gary Winick
2016,1.034185663,143695338,148607658.4,Pete's Dragon,Bryce Dallas Howard,David Lowery
2001,1.423458672,143049560,203625136.7,Spy Game,Brad Pitt,Tony Scott
1998,1.527066244,142940100,218279001.7,Meet Joe Black,Anthony Hopkins,Martin Brest
2012,1.089714997,142817992,155630907.7,Paranormal Activity 4,Matt Shively,Henry Joost
2005,1.29773008,142400065,184796847.8,The Legend of Zorro,Michael Emerson,Martin Campbell
2011,1.124115573,142044638,159674589.6,New Year's Eve,Robert De Niro,Garry Marshall
2001,1.423458672,141774679,201810396.3,Legally Blonde,Linda Cardellini,Robert Luketic
2003,1.362721798,141591324,192949583.6,Gothika,Robert Downey Jr.,Mathieu Kassovitz
1995,1.653699331,141407024,233844701,Bad Boys,Will Smith,Michael Bay
2001,1.423458672,141220678,201021798.8,Scary Movie 2,Natasha Lyonne,Keenen Ivory Wayans
1965,7.902834497,141195658,1115845917,Thunderball,Desmond Llewelyn,Terence Young
2001,1.423458672,141069860,200807115.6,Shallow Hal,Jason Alexander,Bobby Farrelly
1996,1.608572132,141047179,226884561.4,Evita,Andrea Corr,Alan Parker
1978,4.044321463,141000000,570249326.3,Animal House,John Belushi,John Landis
1997,1.562764318,140807547,220049010.2,The Devil's Own,Harrison Ford,Alan J. Pakula
2015,1.035412488,140795793,145781722.3,Trainwreck,Amy Schumer,Judd Apatow
1988,2.15726806,140767956,303674215.4,Die Hard,Alan Rickman,John McTiernan
2016,1.034185663,140705322,145515426.7,Sausage Party,James Franco,Greg Tiernan
2012,1.089714997,140470746,153073078.6,Step Up Revolution,Ryan Guzman,Scott Speer
1998,1.527066244,140464664,214498846.9,Deep Impact,Morgan Freeman,Mimi Leder
2006,1.255146149,140175006,175940119,Monster House,Steve Buscemi,Gil Kenan
2004,1.332473386,140161792,186761857.6,The SpongeBob SquarePants Movie,Scarlett Johansson,Stephen Hillenburg
2010,1.142551557,140073390,160041069.8,Legend of the Guardians: The Owls of Ga'Hoole,Abbie Cornish,Zack Snyder
1973,5.861767636,140000000,820647469,American Graffiti,Harrison Ford,George Lucas
1997,1.562764318,139804348,218481246.6,Anastasia,Kirsten Dunst,Don Bluth
2007,1.21592121,139352633,169441822.2,Saw IV,Costas Mandylor,Darren Lynn Bousman
1979,3.757581758,139000000,522303864.3,Star Trek: The Motion Picture,Leonard Nimoy,Robert Wise
1986,2.278768981,138530565,315679154.4,Platoon,Johnny Depp,Oliver Stone
2006,1.255146149,138259062,173535329.2,Big Momma's House 2,Chloë Grace Moretz,John Whitesell
2007,1.21592121,137587063,167295028.2,Bridge to Terabithia,Josh Hutcherson,Gabor Csupo
2011,1.124115573,137551594,154623888.9,Contagion,Matt Damon,Steven Soderbergh
1993,1.746902839,137298489,239847120.2,Last Action Hero,F. Murray Abraham,John McTiernan
1997,1.562764318,136982834,214071885.2,Conspiracy Theory,Julia Roberts,Richard Donner
1997,1.562764318,136885767,213920192.4,Anaconda,Frank Welker,Luis Llosa
2011,1.124115573,136836156,153819653.9,The Best Exotic Marigold Hotel,Tom Wilkinson,John Madden
1990,1.977302366,136766062,270427858,The Godfather: Part III,Al Pacino,Francis Ford Coppola
2000,1.47152684,136706683,201167553.2,Remember the Titans,Ryan Gosling,Boaz Yakin
2014,1.052209187,136621271,143754156.5,Let's Be Cops,Rob Riggle,Luke Greenfield
2009,1.138489257,136267476,155139057.6,17 Again,Matthew Perry,Burr Steers
1998,1.527066244,136159423,207924458.7,Lost in Space,Gary Oldman,Stephen Hopkins
